작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202409	11110	종로구	9168	광화문역_1	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94884	2400	1150.299
202410	11110	종로구	9168	광화문역_1	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140263	5530	913.879
202207	11110	종로구	9169	광화문역_2	215.0	45.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3253764	400777	6392.849
202208	11110	종로구	9169	광화문역_2	215.0	46.0	86.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3000992	432563	6877.131
202210	11110	종로구	9169	광화문역_2	215.0	46.0	86.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1910449	476954	4543.087
202210	11110	종로구	9169	광화문역_2	215.0	46.0	86.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1910449	476954	4543.087
202211	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3263751	557933	4531.034
202212	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	8473037	787394	5762.454
202301	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	8676209	685227	6369.796
202301	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	6833558	671287	5922.194
202303	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2367315	495263	4386.894
202303	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2119123	489590	4485.129
202306	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2316881	403821	5250.148
202307	11110	종로구	9169	광화문역_2	216.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2919088	399360	6301.45
202308	11110	종로구	9169	광화문역_2	122.0	32.0	43.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3979838	555387	9193.496
